Place_of_residence_partner_man,Place_of_birth_partner_man,Age_partner_man,Monthly_income_partner_man_weight,Occupation_partner_man,Place_of_birth_partner_woman,Age_partner_woman,Place_of_residence_partner_woman,Occupation_partner_woman,Monthly_income_partner_woman_weight,Level_of_education_partner_man,Level_of_education_partner_woman,Custody
MIAMI,INDUSTRIAL,49,8000,PENSIONER,RINCON DE LA PALMA,49,BLACK STONES,LIC. IN PRESCHOOL EDUCATION,13000,HIGH SCHOOL,WITHOUT SCHOOLING,DAD
SAN JUAN,CITY MANTE,63,5900,SECRETARY,TEOCELUS,64,MAPASTEPEC,RADIOLOGIST,1200,OTHER,PRIMARY,MOTHER
FEDERAL DISTRICT,XALAPA - ENRIQUEZ,41,18000,EMPLOYEE,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,STUDENT,9500,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,52,2500,CARPENTER,XALAPA-ENRIQUEZ,52,XALAPA-ENRIQUEZ,PROFESSOR,2500,PRIMARY,PROFESSIONAL,DAD
NETZAHUALCOYOTL CITY,ACAMBARO,41,1280,PRIVATE DOCTOR,HUAPALA,59,MERIDA,SINGER,6800,OTHER,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,42,84000,DRIVER,XALAPA-ENRIQUEZ,39,XALAPA-ENRIQUEZ,EMPLOYEE,1500,PRIMARY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,SAN JUAN EVANGELISTA,40,2500,TEACHER,PUEBLA,33,XALAPA-ENRIQUEZ,SECRETARY,1500,PROFESSIONAL,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,THE BULL,49,12000,ACCOUNTANT,XALAPA-ENRIQUEZ,45,XALAPA-ENRIQUEZ,EMPLOYEE,8000,PROFESSIONAL,PROFESSIONAL,MOTHER
ACCEPT,MORALILLO,63,39000,CIVIL SERVANT,EJIDO LOS ROBLES,25,TEHUACAN,Accountant,1300,PROFESSIONAL,PREPARATORY,DAD
GUADALAJARA,GRENOBLE ISERE,19,70000,SALES REPRESENTATIVE,IXHUATLAN DEL CAFÉ,19,VILLA INDEPENDENCIA,INSTRUCTOR,301740,PREPARATORY,OTHER,DAD
MEXICO,ATLIXCO,65,3132,TRANSIT,SOLITUDE OF BENDING,75,SAN MARCOS,ASSISTANT,2500,PREPARATORY,PRIMARY,MOTHER
MERIDA,GUADALAJARA,52,15000,GRADUATE,BALANCAN,43,XALAPA-ENRIQUEZ,LICENSED,15000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,3516,EMPLOYEE,XALAPA-ENRIQUEZ,27,XALAPA-ENRIQUEZ,HOUSEWIFE,26693,PREPARATORY,HIGH SCHOOL,MOTHER
TEPEPAN,AMATLAN,57,11500,TECHNICAL,MEXICO,55,XALAPA-ENRIQUEZ,TECHNICAL,3200,PROFESSIONAL,PREPARATORY,MOTHER
JUAN RODRIGUEZ CLARA,TLACHICHILCO,73,1600,DUTY MANAGER,PILOTS,68,MOZOMBOA,DENTIST,3900,HIGH SCHOOL,PREPARATORY,DAD
TAMPICO,TUXTLA GUTIERREZ,21,6228,STYLIST,MIAHUATLAN,77,LION,CRAFTSWOMAN,28000,PREPARATORY,HIGH SCHOOL,OTHER
NEW YORK,DENVER,45,50000,EMPLOYEE,XALAPA-ENRIQUEZ,44,XALAPA-ENRIQUEZ,EMPLOYEE,10000,PREPARATORY,PROFESSIONAL,MOTHER
THE IDOLS,ZIMPIZAHUA,39,10500,LIC. COMPUTING,FORTIN OF THE FLOWERS,23,NAOLINCO,BUSINESSMAN,300,PROFESSIONAL,OTHER,MOTHER
NAVOLATO,CHURUBUSCO HEROES,69,25000,RAILWAY,SANTIAGO,78,THREE VALLEYS,NUTRIOLOGIST,11500,HIGH SCHOOL,OTHER,DAD
TLILAPAN,SECOND COFFEE,62,10280,TAILOR,STEP OF THE MALE,45,GUSTAVO A. MADERO,DENTISTRY,14000,HIGH SCHOOL,WITHOUT SCHOOLING,DAD
MIAMI,FEDERAL DISTRICT,37,12600,MUSICIAN,FEDERAL DISTRICT,33,XALAPA-ENRIQUEZ,BUSINESSMAN,20000,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,MEXICO,27,2000,EMPLOYEE,XALAPA-ENRIQUEZ,24,XALAPA-ENRIQUEZ,EMPLOYEE,1800,PREPARATORY,PREPARATORY,MOTHER
TLALNELHUAYOCAN,CUAUTEPEC FROM HINOJOSA,40,2000,ARCHITECT,IXHUATLAN DE MADERO,53,FEDERAL DISTRICT,FEDERAL EMPLOYEE,6890,PROFESSIONAL,PRIMARY,MOTHER
COATEPEC,POTRERO MINAS,37,5900,GRADUATE,PALMA SOLA,53,BEAUTIFUL,CAPTURIST,46000,PRIMARY,HIGH SCHOOL,OTHER
MEXICO STATE,ZAPOTLAN DE JUAREZ,60,33000,AERONAUT,CHAMPOTON,46,BLACK STONES,HOUSEWIFE,9800,OTHER,HIGH SCHOOL,DAD
NEW YORK,ARROYO DEL POTRERO,61,937,AGENT,ARAU,75,THE TALL,NURSE,3400,HIGH SCHOOL,PREPARATORY,MOTHER
PAPANTLA,APATZINGAN,73,2280,ACCOUNTANT,SAN RAFAEL,75,SALMORAL,BEAUTY CULTURE,7000,HIGH SCHOOL,PREPARATORY,MOTHER
TLALMANALCO,ZACATECAS,42,15000,Professional,SAN JOSE ALCHICHICA,29,THREE VALLEYS,CONSULTANT,1400,PROFESSIONAL,PROFESSIONAL,DAD
ECATEPEC,ACAMBARO,21,4700,FEDERAL EMPLOYEE,XALAPAATOYAC,31,XICO,SEAMSTRESS,10800,PRIMARY,PRIMARY,OTHER
BEAUTIFUL,TELAYA PASS,51,50000,ADVERTISING,THE CROSSES,72,COLIMA,LITIGANT,5800,OTHER,WITHOUT SCHOOLING,DAD
XALAPA-ENRIQUEZ,SAN ANDRES TUXTLA,34,3000,EMPLOYEE,TAMPICO,31,XALAPA-ENRIQUEZ,HOUSEWIFE,7900,HIGH SCHOOL,PROFESSIONAL,MOTHER
TEMAPACHE,XALAPA - ENRIQUEZ,36,24000,EMPLOYEE,XALAPA-ENRIQUEZ,34,MISANTLA,EMPLOYEE,45000,PREPARATORY,OTHER,OTHER
NEZAHUALCOYOTL,FEDERAL DISTRICT,56,950,MECHANICAL,XALAPA-ENRIQUEZ,58,XALAPA-ENRIQUEZ,EDUCATOR,17000,HIGH SCHOOL,PROFESSIONAL,DAD
MANDEVILLE,ILAMATLAN,51,26937,OPTOMETRIST,SAINT ANA,48,PANUCO,EMPLOYEE,7200,PROFESSIONAL,PROFESSIONAL,MOTHER
THE LOMA,TEMAPACHE,73,26937,CITRICULTUR,WHITE FOAM,76,CARDENAS TABASCO,DESIGNER,75000,OTHER,WITHOUT SCHOOLING,DAD
CUERNAVACA,BANDERILLA,51,1025,DOCTOR,PINOLTEPEC,30,THE TRANCAS,ACADEMIC,10400,PROFESSIONAL,WITHOUT SCHOOLING,MOTHER
TECOLUTILLA,TLACHICHILCO,38,1530,FAMILY DOCTOR,THE VIEW,28,TUXPAN,CATHEDRATIC,45000,PREPARATORY,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,27,3000,EMPLOYEE,XALAPA-ENRIQUEZ,29,XALAPA-ENRIQUEZ,EMPLOYEE,3000,PREPARATORY,HIGH SCHOOL,OTHER
PUEBLA,AMATLAN,69,11309,VIGILANT,COSAUTLAN,57,CARMEN BEACH,ADVISOR,4600,HIGH SCHOOL,HIGH SCHOOL,OTHER
FLAT,ALLENDE,30,3620,INSTRUCTOR,SAN JUAN GUICHIC,70,SAN ANDRES TUXTLA,HOUSEWORK,9100,PRIMARY,PREPARATORY,OTHER
IZTACCZIHUATL REFORM,TULA DE ALLENDE,55,750,TURNER,XALAPACIHUATLAN,61,VILLA EMILIANO ZAPATA,Cook,4800,OTHER,PREPARATORY,DAD
TLAPACOYAN,VILLA ALDAMA,53,6000,BUSINESSMAN,XALAPA-ENRIQUEZ,58,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PREPARATORY,PREPARATORY,OTHER
LONG BEACH,PATZCUARO,73,12600,SERIGRAPHER,SAN JUAN STEP,31,GUSTAVO A. MADERO,CONSULTANT,5800,PRIMARY,PRIMARY,DAD
GUADALAJARA,LOMA GRANDE,54,6300,ALUMINUM,XALAPADISTRITO FEDERAL,22,SAN MARTIN TEXMELUCAN,BUSINESSMAN,1530,PROFESSIONAL,PROFESSIONAL,OTHER
SANTA MARIA EL TULE,BARRANCA GRANDE,32,1350,GARDENER,EBONY,57,TEOCELUS,CRAFTSWOMAN,1900,PREPARATORY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,47,8000,EMPLOYEE,INGENIO LA CONCEPCION,46,XALAPA-ENRIQUEZ,TEACHER,8000,PREPARATORY,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,38,3200,RAILWAY,XALAPA-ENRIQUEZ,24,XALAPA-ENRIQUEZ,DIRECTOR,10000,PRIMARY,WITHOUT SCHOOLING,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,47,2120,CHEF,XALAPA-ENRIQUEZ,51,XALAPA-ENRIQUEZ,PROFESSOR,14000,PROFESSIONAL,PROFESSIONAL,MOTHER
PEACE,BARRANCA GRANDE,25,10679,THERAPIST,CHAPULTEPEC,44,VILLA INDEPENDENCIA,LICENSED,2000,OTHER,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,KILLINGS,40,9000,TEACHER,THE CHOAPAS,27,XALAPA-ENRIQUEZ,BUSINESSMAN,2500,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,PACHUCA,33,9800,EMPLOYEE,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,EMPLOYEE,2100,PROFESSIONAL,PROFESSIONAL,OTHER
FEDERAL DISTRICT,FEDERAL DISTRICT,38,14500,UNEMPLOYED,XALAPA-ENRIQUEZ,35,XALAPA-ENRIQUEZ,PROFESSOR,4000,PREPARATORY,PROFESSIONAL,MOTHER
NATIONAL BRIDGE,MARTINEZ DE LA TORRE,48,2800,PHYTOTHERAPIST,AGUASCALIENTES,40,THE TREASURE,PRIVATE TEACHER,1750,PRIMARY,OTHER,DAD
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,66,30000,PENSIONER,XALAPA-ENRIQUEZ,66,XALAPA-ENRIQUEZ,HOUSEWIFE,4700,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,TEPEAPULCO,49,5000,FARMER,XALAPA-ENRIQUEZ,51,XALAPA-ENRIQUEZ,EMPLOYEE,5500,HIGH SCHOOL,PREPARATORY,DAD
VERACRUZ,OZULUAMA,58,1000,PSYCHOLOGIST,SAN LUIS POTOSI,54,OAXACA,RETIRED,11500,HIGH SCHOOL,OTHER,DAD
BUT,ALCHICHILCA,31,13000,EMPLOYEE,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,EMPLOYEE,27000,PROFESSIONAL,PROFESSIONAL,MOTHER
TIJUANA,GUASAVE,32,6000,EMPLOYEE,XALAPA-ENRIQUEZ,34,TIJUANA,EMPLOYEE,3000,PROFESSIONAL,PROFESSIONAL,MOTHER
SOLITUDE OF BENDING,THE PALM,55,14000,CLINICAL CHEMICAL,SEATTLE,37,THE BEAMS,LICENSED,19500,PROFESSIONAL,PRIMARY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,23,5250,EMPLOYEE,XALAPA-ENRIQUEZ,23,XALAPA-ENRIQUEZ,HOME DUTIES,708652,HIGH SCHOOL,HIGH SCHOOL,OTHER
PUEBLA,XALAPA - ENRIQUEZ,37,6000,EMPLOYEE,CORDOVA,29,XALAPA-ENRIQUEZ,EMPLOYEE,5105,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,VERACRUZ,51,12000,EMPLOYEE,XALAPA-ENRIQUEZ,46,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,MANZANILLO,32,4000,ALBAÑIL,XALAPA-ENRIQUEZ,30,XALAPA-ENRIQUEZ,EMPLOYEE,2600,HIGH SCHOOL,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,39,3000,DRIVER,COYUTLA,44,XALAPA-ENRIQUEZ,EMPLOYEE,2000,HIGH SCHOOL,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,MORELOS,29,8000,EMPLOYEE,THE ESTANZUELA,30,XALAPA-ENRIQUEZ,EMPLOYEE,3400,PREPARATORY,PREPARATORY,OTHER
CARMEN,ALVARO OBREGON,50,39000,ALUMINUM,COYUTLA,24,THE CONCEPTION,PRIMARY SCHOOL TEACHER,2700,PROFESSIONAL,PROFESSIONAL,DAD
THE VICTORY,PICHUCALCO,43,550,TURNER,GIRL TABLE,51,VILLA EMILIANO ZAPATA,SWIMMING INSTRUCTOR,10400,PREPARATORY,OTHER,OTHER
XALAPA-ENRIQUEZ,ORIZABA,30,5000,TEACHER,XALAPA-ENRIQUEZ,30,XALAPA-ENRIQUEZ,PROFESSOR,7000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,4000,GOVERNMENT EMPLOYEE,MISANTLA,35,XALAPA-ENRIQUEZ,EDUCATOR,4200,PREPARATORY,PROFESSIONAL,OTHER
PILETS,WHITE LAND,39,13400,GENERAL DOCTOR,HUETAMO,52,NICOLAS WHITE,EXECUTIVE ASSISTANT,200000,HIGH SCHOOL,WITHOUT SCHOOLING,DAD
ATLACOMULCO,VERACRUZ,41,5900,EMPLOYEE,COATZACOALCOS,35,XALAPA-ENRIQUEZ,EMPLOYEE,17600,HIGH SCHOOL,WITHOUT SCHOOLING,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,42,15000,EMPLOYEE,XALAPA-ENRIQUEZ,43,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,38,1025,EMPLOYEE,XALAPA-ENRIQUEZ,72,COYOACAN,EMPLOYEE,1530,PRIMARY,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,TEOCELUS,42,40000,EMPLOYEE,XALAPA-ENRIQUEZ,35,XALAPA-ENRIQUEZ,HOUSEWIFE,708652,PROFESSIONAL,PROFESSIONAL,MOTHER
SALINAS,SAN MIGUEL,19,5490,WATCHMAKER,REFORM,22,SOLIDARITY,PSYCHOTHERAPIST,29000,PROFESSIONAL,WITHOUT SCHOOLING,OTHER
THE LINGERIE,DRAWERS,63,3132,JEWELER,MINEOLA,19,BEAUTIFUL,WAITRESS,6000,WITHOUT SCHOOLING,OTHER,MOTHER
ILLINOIS,GOOD VIEW,53,7400,CARRIER,PADDOCK,35,HOPPER,DOCTOR,10,OTHER,OTHER,DAD
TUXTEPEC,ZOLONQUIACA,39,9700,POLICE,CHICONTEPEC,81,THE PITAYA,Cook,5900,PROFESSIONAL,OTHER,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,47,27000,EMPLOYEE,XALAPA-ENRIQUEZ,50,XALAPA-ENRIQUEZ,EMPLOYEE,13706,PRIMARY,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,TAMPICO,58,25000,DOCTOR,FEDERAL DISTRICT,52,XALAPA-ENRIQUEZ,HOUSEWIFE,6890,PROFESSIONAL,PREPARATORY,DAD
XALAPA-ENRIQUEZ,TLACOTALPAN,44,15000,PUBLIC ACCOUNTANT,TEZIUTLAN,42,XALAPA-ENRIQUEZ,EDUCATOR,9000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,36,2600,EMPLOYEE,THE BEAMS OF RAMIREZ,36,XALAPA-ENRIQUEZ,EMPLOYEE,3000,HIGH SCHOOL,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,ACTOPAN,35,12000,EMPLOYEE,CHIAUTLA DE TAPIA,32,XALAPA-ENRIQUEZ,HOME DUTIES,3300,PREPARATORY,HIGH SCHOOL,MOTHER
BANDERILLA,FEDERAL DISTRICT,29,5400,STUDENT,XALAPA-ENRIQUEZ,30,XALAPA-ENRIQUEZ,TEACHER,1500,PREPARATORY,PROFESSIONAL,OTHER
BANDERILLA,BANDERILLA,42,20000,EMPLOYEE,TUXPAN,33,XALAPA-ENRIQUEZ,EMPLOYEE,18000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,47,50000,ACCOUNTANT,HAVANA,40,PUEBLA,Cook,8300,PROFESSIONAL,PROFESSIONAL,DAD
THE VICTORY,CARMEN CITY,57,1600,POLICE OFFICER,SANTIAGO,31,THE SALMORAL,COSMIATRIA,5400,WITHOUT SCHOOLING,OTHER,OTHER
CARMEN,MATIAS ROMERO,59,25000,LITIGANT,XALAPAEL ESPINAL,42,LONG STEP,ACADEMIC,5105,OTHER,HIGH SCHOOL,DAD
THE LOOKER,REFORM,78,9246,LIC. IN NUTRITION,ECATEPEC DE MORELOS,23,ALLENDE,AGRONOMIST,4100,WITHOUT SCHOOLING,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,31,4000,EMPLOYEE,XALAPA-ENRIQUEZ,25,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,COSAUTLAN,59,8000,ATTORNEY,XALAPA-ENRIQUEZ,50,XALAPA-ENRIQUEZ,HOUSEWIFE,7300,PROFESSIONAL,PROFESSIONAL,DAD
SANTIAGO TUXTLA,SANTIAGO TUXTLA,45,523305,EMPLOYEE,XALAPA-ENRIQUEZ,39,XALAPA-ENRIQUEZ,EMPLOYEE,13500,PROFESSIONAL,PROFESSIONAL,MOTHER
COMMITTEE,PICHUCALCO,28,16500,DENTAL SURGEON,ACATLAN OF OSORIO,45,WATER STONE,Waitress,90000,WITHOUT SCHOOLING,HIGH SCHOOL,DAD
LONG STEP,XALAPA - ENRIQUEZ,38,550,EMPLOYEE,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,TEACHER,6400,PROFESSIONAL,PROFESSIONAL,MOTHER
MOUTH OF THE RIVER,SONORA,30,4492,BLACKSMITH,TONAYAN,19,COATZACOALCOS,ING. ELECTRICAL MECHANICS,800,PREPARATORY,PROFESSIONAL,MOTHER
ILLINOIS,THE NORIA,27,17000,GOVERNMENT EMPLOYEE,THE ANIMES,60,NUEVO LAREDO,EXECUTIVE,50000,PREPARATORY,PREPARATORY,OTHER
SAN HIPOLITO,PURUANDIRO,59,6000,SALARIED,LAGOON OF THE,56,YAUTEPEC,LABORATORY,7300,HIGH SCHOOL,PREPARATORY,DAD
PUEBLA,PUEBLA,24,1200,GENERAL DOCTOR,PUEBLA,25,XALAPA-ENRIQUEZ,NURSE,1500,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,4000,EMPLOYEE,FEDERAL DISTRICT,29,XALAPA-ENRIQUEZ,RECEPTIONIST,5000,HIGH SCHOOL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,GREEN MOUNT,36,4000,ACCOUNTANT,XALAPA-ENRIQUEZ,35,BANDERILLA,CABBIE,2000,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,28,15000,EMPLOYEE,TEZIUTLAN,25,XALAPA-ENRIQUEZ,EMPLOYEE,20000,PROFESSIONAL,PROFESSIONAL,DAD
SAN HIPOLITO,REEDBED,74,19194,PUBLIC ACCOUNTANT,PROGRESS,74,URSULO GALVAN,BIOLOGY,1440,OTHER,OTHER,DAD
CARDEL,XALAPA - ENRIQUEZ,27,7000,BUSINESSMAN,XALAPA-ENRIQUEZ,28,XALAPA-ENRIQUEZ,LIC. BUSINESS ADMINISTRATION,20000,PROFESSIONAL,PROFESSIONAL,OTHER
COMALCALCO,XALAPA - ENRIQUEZ,34,7500,EMPLOYEE,CHONTLA,35,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PROFESSIONAL,MOTHER
MILPA PASS,OAXACA,55,750000,Professional,TIHUATLAN,41,URSULO GALVAN,POCKET,3990,WITHOUT SCHOOLING,OTHER,DAD
XALAPA-ENRIQUEZ,TLALPAN,44,3000,EMPLOYEE,FEDERAL DISTRICT,35,XALAPA-ENRIQUEZ,EMPLOYEE,2320,PREPARATORY,PREPARATORY,MOTHER
CUAUTITLAN,COLOGNE ROME,91,12600,VETERINARIAN,NICOLAS WHITE,28,EMILIANO ZAPATA,POLICE,9200,PRIMARY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,5000,EMPLOYEE,FEDERAL DISTRICT,32,XALAPA-ENRIQUEZ,BROKER,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
SAN ROMAN,JUAN MARCOS,53,10340,CIVIL SERVANT,SAN CRISTOBAL HIDALGO,47,MARIANO ESCOBEDO,GOVERNMENT EMPLOYEE,4100,HIGH SCHOOL,PREPARATORY,OTHER
ANTON LIZARDO,INDUSTRIAL,52,11309,SURGEON,BEAUTIFUL VALLEY,44,TLALNEPANTLA,Waitress,6400,PROFESSIONAL,HIGH SCHOOL,DAD
CARDENAS,VICENTE GUERRERO,67,11200,PRINTER,LANDACCO,57,CHICONTEPEC,RADIOLOGICAL TECHNICIAN,7100,PRIMARY,PROFESSIONAL,DAD
SALMORAL,THE BRIDGES,55,5000,BUILDER,OAXACA,36,THREE VALLEYS,WAITRESS,3440,PREPARATORY,OTHER,OTHER
COYOACAN,VICENTE BEACH,56,1025,PRODUCER,GREEN MOUNT,39,COSAMALOAPAN,AUDITOR,850,OTHER,HIGH SCHOOL,DAD
VERACRUZ,ACAPULCO,41,45000,EMPLOYEE,PAPANTLA,37,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,26,7000,EMPLOYEE,XALAPA-ENRIQUEZ,25,XALAPA-ENRIQUEZ,EMPLOYEE,2400,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,24,3000,EMPLOYEE,XALAPA-ENRIQUEZ,21,XALAPA-ENRIQUEZ,EMPLOYEE,2000,PREPARATORY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,41,12000,PUBLIC SERVER,FEDERAL DISTRICT,43,XALAPA-ENRIQUEZ,PUBLIC SERVER,28000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,HUAUCHINANGO,60,1843,SALES MANAGER,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,HOME DUTIES,1500,HIGH SCHOOL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,37,3000,EMPLOYEE,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,EMPLOYEE,2000,PROFESSIONAL,PREPARATORY,MOTHER
THE ESTANZUELA,XALAPA - ENRIQUEZ,39,6000,EMPLOYEE,TEMPOAL,41,TEMPOAL,PROFESSOR,8000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,47,4000,BUSINESSMAN,PILOTS,45,XALAPA-ENRIQUEZ,BUSINESSMAN,7600,PREPARATORY,PRIMARY,DAD
TEPEPAN,COMMITTEE,34,10500,EMPLOYEE,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,EMPLOYEE,4200,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,45,5000,EMPLOYEE,XALAPA-ENRIQUEZ,38,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PREPARATORY,PREPARATORY,DAD
XALAPA-ENRIQUEZ,BALBUENA,31,18000,EMPLOYEE,LEONA VICARIO,36,XALAPA-ENRIQUEZ,EMPLOYEE,7100,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,COATZACOALCOS,61,15000,RETIRED,ALVARADO,57,COATZACOALCOS,RETIRED,30000,HIGH SCHOOL,HIGH SCHOOL,OTHER
FEDERAL DISTRICT,CORDOVA,44,4500,EMPLOYEE,FEDERAL DISTRICT,30,TLALNEPANTLA,EMPLOYEE,20000,PROFESSIONAL,PRIMARY,MOTHER
OTATES,SALTILLO,73,15020,PRIVATE OFFICER,CINTALAPA,57,RODRIGUEZ CLARA,RETIRED,3700,OTHER,PRIMARY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,3000,POLICE,XALAPA-ENRIQUEZ,30,XALAPA-ENRIQUEZ,STYLIST,2000,PREPARATORY,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,5000,TEACHER,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,HOUSEWIFE,2480,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,PROGRESS,20,11309,TRANSIT,XALAPA-ENRIQUEZ,20,XALAPA-ENRIQUEZ,EMPLOYEE,9200,WITHOUT SCHOOLING,HIGH SCHOOL,MOTHER
TLAXCALA,XALAPA - ENRIQUEZ,41,10,PUBLIC SERVER,ARCELIA,44,CHOLULA,AGRONOMIST,7500,PROFESSIONAL,HIGH SCHOOL,OTHER
USA,CHILTOYAC,91,11500,STYLIST,NUEVO LAREDO,74,TEAPAN,VETERINARIAN,15000,PREPARATORY,OTHER,DAD
XALAPA-ENRIQUEZ,VERACRUZ,49,6000,EMPLOYEE,TABASCO,45,XALAPA-ENRIQUEZ,HOUSEWIFE,11174,PROFESSIONAL,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,10000,BLACKSMITH,CHACHALACAS,35,XALAPA-ENRIQUEZ,BUSINESSMAN,15,PRIMARY,PRIMARY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,33,6638,COUNTER MANAGER,XALAPA-ENRIQUEZ,24,XALAPA-ENRIQUEZ,VET,1600,PROFESSIONAL,PREPARATORY,DAD
BANDERILLA,THE LINGERIE,64,2200,CONSULTANT,THREE VALLEYS,61,COATEPEC,SALES AGENT,9000,PROFESSIONAL,WITHOUT SCHOOLING,MOTHER
XALAPA-ENRIQUEZ,JUAREZ VALLEY,30,3000,JOURNALIST,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,TEACHER,1500,PROFESSIONAL,PROFESSIONAL,MOTHER
MOUTH OF THE RIVER,FEDERAL DISTRICT,70,6228,RETIRED,FEDERAL DISTRICT,63,MOUTH OF THE RIVER,RETIRED,5500,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,44,21000,EMPLOYEE,XALAPA-ENRIQUEZ,45,XALAPA-ENRIQUEZ,EMPLOYEE,15000,PROFESSIONAL,PROFESSIONAL,MOTHER
NEZAHUALCOYOTL,SAHAGUN CITY,50,6900,ACTOR,ISLAND,61,OLD PACHO,Cook,2474,PROFESSIONAL,OTHER,DAD
